date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:57	609/609	---M-Z	200	added ('OK')	text/plain	etag:%227b3-55bd78c2218ba-gzip%22	http://www.coolmath-games.com/robots.txt		(from )
14:43:58	150602/150602	---M-Z	200	added ('OK')	text/html	etag:%221527007967-1%22	http://www.coolmath-games.com/	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/index.html	(from )
14:43:58	932/932	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223a4-55acae787c818%22	http://www.coolmath-games.com/sites/cmatgame/themes/cmatgame/favicon.ico	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/themes/cmatgame/favicon.ico	(from http://www.coolmath-games.com/)
14:43:59	3368/3368	---M-Z	200	added ('OK')	text/css	etag:%2243f-5662077b9eb48%22	http://www.coolmath-games.com/sites/cmatgame/files/css/css_GkeqQjzVgzzy9aO8w7NBmdpfYEYFpkJ-3ogoX_W57ZY.css	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/css/css_GkeqQjzVgzzy9aO8w7NBmdpfYEYFpkJ-3ogoX_W57ZY.css	(from http://www.coolmath-games.com/)
14:43:59	12895/12895	---M-Z	200	added ('OK')	text/css	etag:%22b46-5662077b835c8%22	http://www.coolmath-games.com/sites/cmatgame/files/css/css_Y1-8NQ_LtLRo-q3BhsGUj4-DuiRMtf9wyU08p15ex_M.css	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/css/css_Y1-8NQ_LtLRo-q3BhsGUj4-DuiRMtf9wyU08p15ex_M.css	(from http://www.coolmath-games.com/)
14:43:59	40546/40546	---M-Z	200	added ('OK')	application/javascript	etag:%229e62-5539c71d45a38-gzip%22	http://www.coolmath-games.com/sites/cmatgame/files/mbox.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/mbox.js	(from http://www.coolmath-games.com/)
14:43:59	4471/4471	---M-Z	200	added ('OK')	text/css	etag:%224c0-5662077dae898%22	http://www.coolmath-games.com/sites/cmatgame/files/css/css_rzMBmkwb08Tdyvqaxu6e95BW_3f31YHwCJFTkdIUW_A.css	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/css/css_rzMBmkwb08Tdyvqaxu6e95BW_3f31YHwCJFTkdIUW_A.css	(from http://www.coolmath-games.com/)
14:44:00	571182/571182	---M-Z	200	added ('OK')	text/css	etag:%2210aa1-56cbb47c909b8%22	http://www.coolmath-games.com/sites/cmatgame/files/css/css_hILIyHMT72qpA9wSf3VhMU1SKy5Rf1UrTNz0HL7YnkI.css	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/css/css_hILIyHMT72qpA9wSf3VhMU1SKy5Rf1UrTNz0HL7YnkI.css	(from http://www.coolmath-games.com/)
14:44:04	23197/23197	---M-Z	200	added ('OK')	text/javascript	etag:%221e63-56ac553166f10%22	http://www.coolmath-games.com/sites/cmatgame/files/js/js_vSmhpx_T-AShyt_WMW5_TcwwxJP1imoVOa8jvwL_mxE.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/js/js_vSmhpx_T-AShyt_WMW5_TcwwxJP1imoVOa8jvwL_mxE.js	(from http://www.coolmath-games.com/)
14:44:04	14480/14480	---M-Z	200	added ('OK')	text/javascript	etag:%22e57-5662077cf8688%22	http://www.coolmath-games.com/sites/cmatgame/files/js/js_6RfqyQ6dGB15EZV8a7SPpd5EOSSerQR7s-GxPVyVTqA.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/js/js_6RfqyQ6dGB15EZV8a7SPpd5EOSSerQR7s-GxPVyVTqA.js	(from http://www.coolmath-games.com/)
14:44:06	44432/44432	---M-Z	200	added ('OK')	text/javascript	etag:%22292c-56cbb47cac708%22	http://www.coolmath-games.com/sites/cmatgame/files/js/js_NrH38_iVE-my53ZJa33N_2gr3pXp9ig3gjcpo3CcjXg.js	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/js/js_NrH38_iVE-my53ZJa33N_2gr3pXp9ig3gjcpo3CcjXg.js	(from http://www.coolmath-games.com/)
14:44:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20May%202018%2018:44:06%20GMT	http://www.coolmath-games.com/global-privacy-policy	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/global-privacy-policy	(from http://www.coolmath-games.com/)
14:44:08	94755/94755	---MCZ	403	error ('Forbidden')	text/html	etag:%221527014646-1%22	http://www.coolmath-games.com/privacy-policy-%E2%80%93-gdpr	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/privacy-policy-%e2%80%93-gdpr	(from http://www.coolmath-games.com/)
14:44:08	27098/27098	---M-Z	200	added ('OK')	text/html	etag:%221526997197-1%22	https://www.coolmath-games.com/signup/b2df5a33?origin=/	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/signup/b2df5a333b42.html	(from http://www.coolmath-games.com/)
14:44:12	21105/21105	---M--	200	added ('OK')	image/png	etag:%225271-561e054abfb58%22	http://www.coolmath-games.com/sites/cmatgame/files/logo.png	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/sites/cmatgame/files/logo.png	(from http://www.coolmath-games.com/)
14:44:12	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2022%20May%202018%2018:44:11%20GMT	http://www.coolmath-games.com/user/login	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/user/login	(from http://www.coolmath-games.com/)
14:44:12	22545/22545	---M-Z	200	added ('OK')	text/html	etag:%221527014651-1%22	https://www.coolmath-games.com/user/login	C:/Users/Jack/Documents/GitHub/coolMathGamesReloaded.github.io/coolmathgames/www.coolmath-games.com/user/login.html	(from http://www.coolmath-games.com/)
